invoice_no,customer_id,category,quantity,price,invoice_date,shopping_mall,gender,age,payment_method
I247218,C741297,Books,1,15.15,13-01-2022,Mall of Istanbul,Male,36.0,Cash
I308674,C286611,Clothing,5,1500.4,04-04-2022,Metropol AVM,Female,51.0,Credit Card
I538788,C155240,Toys,1,35.84,07-08-2021,Mall of Istanbul,Female,29.0,Credit Card
I682922,C283849,Clothing,5,1500.4,16-05-2022,Mall of Istanbul,Female,58.0,Cash
I123864,C121156,Shoes,3,1800.51,10-08-2022,Metrocity,Male,68.0,Cash
I474019,C299779,Cosmetics,5,203.3,15-05-2021,Kanyon,Female,58.0,Debit Card
I857171,C115898,Shoes,2,1200.34,12-02-2023,Emaar Square Mall,Male,26.0,Cash
I317330,C142672,Shoes,5,3000.85,05-09-2022,Mall of Istanbul,Female,49.0,Credit Card
I476430,C234140,Clothing,5,1500.4,17-04-2021,Forum Istanbul,Female,41.0,Credit Card
I712121,C373154,Toys,1,35.84,11-09-2021,Emaar Square Mall,Female,49.0,Credit Card
I253258,C954128,Clothing,1,300.08,18-05-2022,Kanyon,Female,28.0,Credit Card
I103248,C202349,Toys,2,71.68,12-03-2022,Kanyon,Female,21.0,Cash
I201709,C210240,Souvenir,5,58.65,02-03-2023,Mall of Istanbul,Female,69.0,Credit Card
I140531,C216013,Shoes,3,1800.51,05-03-2021,Metrocity,Male,22.0,Credit Card
I598832,C222244,Books,4,60.6,18-04-2022,Metrocity,Male,26.0,Cash
I233406,C202286,Food & Beverage,4,20.92,26-09-2022,Emaar Square Mall,Female,43.0,Cash
I274719,C291962,Food & Beverage,1,5.23,30-10-2021,Forum Istanbul,Female,47.0,Debit Card
I868553,C105764,Souvenir,2,23.46,16-02-2023,Emaar Square Mall,Male,67.0,Cash
I310692,C878345,Clothing,4,1200.32,15-07-2022,Kanyon,Female,48.0,Credit Card
I254673,C143430,Cosmetics,2,81.32,18-02-2023,Kanyon,Female,42.0,Debit Card
I153941,C338552,Clothing,3,900.24,25-07-2021,Mall of Istanbul,Female,21.0,Credit Card
I255301,C306089,Clothing,5,1500.4,21-02-2023,Metropol AVM,Female,43.0,Cash
I276989,C253346,Technology,2,2100.0,05-03-2021,Metropol AVM,Female,39.0,Debit Card
I172473,C279849,Clothing,5,1500.4,30-07-2022,Metrocity,Female,64.0,Cash
I215573,C197901,Clothing,5,1500.4,03-09-2021,Cevahir AVM,Female,53.0,Cash
I224625,C160452,Clothing,5,1500.4,29-04-2021,Emaar Square Mall,Female,34.0,Credit Card
I113812,C463587,Shoes,4,2400.68,29-08-2021,Metrocity,Male,68.0,Cash
I325023,C290609,Clothing,4,1200.32,27-02-2022,Zorlu Center,Female,61.0,Credit Card
I407437,C288544,Cosmetics,5,203.3,06-09-2022,Viaport Outlet,Male,64.0,Credit Card
I935028,C275199,Technology,3,3150.0,15-05-2021,Mall of Istanbul,Female,46.0,Credit Card
I121064,C576013,Souvenir,3,35.19,29-08-2021,Mall of Istanbul,Female,55.0,Credit Card
I796512,C177280,Books,4,60.6,07-03-2022,Istinye Park,Female,33.0,Cash
I322576,C119068,Clothing,2,600.16,10-07-2022,Mall of Istanbul,Female,40.0,Credit Card
I198420,C157534,Shoes,1,600.17,20-09-2022,Kanyon,Male,22.0,Cash
I117778,C455212,Clothing,1,300.08,16-08-2021,Mall of Istanbul,Male,21.0,Cash
I258926,C128834,Clothing,1,300.08,04-08-2021,Mall of Istanbul,Male,57.0,Credit Card
I121659,C339085,Food & Beverage,3,15.69,04-06-2021,Forum Istanbul,Female,29.0,Cash
I125147,C295069,Cosmetics,4,162.64,30-01-2022,Kanyon,Male,68.0,Cash
I123522,C257163,Food & Beverage,1,5.23,14-08-2022,Istinye Park,Male,20.0,Cash
I239542,C718508,Clothing,1,300.08,21-01-2022,Forum Istanbul,Female,64.0,Cash
I857861,C272918,Technology,5,5250.0,30-04-2022,Mall of Istanbul,Male,18.0,Cash
I249497,C276263,Cosmetics,3,121.98,01-07-2021,Istinye Park,Female,47.0,Credit Card
I454682,C968730,Clothing,5,1500.4,30-09-2021,Cevahir AVM,Female,27.0,Cash
I934104,C315154,Cosmetics,5,203.3,08-02-2022,Mall of Istanbul,Female,34.0,Cash
I144157,C146738,Toys,5,179.2,22-09-2022,Metrocity,Male,39.0,Cash
I170362,C103888,Clothing,4,1200.32,03-10-2022,Mall of Istanbul,Male,69.0,Cash
I805520,C488994,Cosmetics,4,162.64,23-02-2022,Metrocity,Female,48.0,Credit Card
I252825,C828471,Clothing,5,1500.4,20-03-2022,Metropol AVM,Male,37.0,Credit Card
I338183,C222728,Clothing,4,1200.32,04-11-2021,Kanyon,Male,18.0,Cash
I300808,C541498,Clothing,3,900.24,20-12-2022,Kanyon,Male,38.0,Cash
I225402,C198322,Souvenir,4,46.92,10-06-2021,Mall of Istanbul,Female,40.0,Cash
I255774,C248859,Food & Beverage,1,5.23,20-12-2021,Metropol AVM,Male,18.0,Debit Card
I196168,C657207,Clothing,3,900.24,11-12-2022,Kanyon,Female,19.0,Credit Card
I580474,C535999,Technology,4,4200.0,08-02-2021,Zorlu Center,Male,43.0,Debit Card
I124650,C330949,Food & Beverage,4,20.92,31-07-2022,Emaar Square Mall,Female,27.0,Cash
I777931,C229071,Clothing,5,1500.4,05-04-2021,Kanyon,Male,27.0,Debit Card
I208602,C524104,Shoes,2,1200.34,16-03-2022,Zorlu Center,Female,25.0,Cash
I984781,C336350,Clothing,4,1200.32,25-11-2022,Zorlu Center,Male,60.0,Cash
I789368,C199509,Cosmetics,3,121.98,05-10-2021,Metropol AVM,Male,22.0,Cash
I850954,C110091,Clothing,2,600.16,13-03-2021,Emaar Square Mall,Male,67.0,Credit Card
I313995,C213844,Cosmetics,5,203.3,14-04-2021,Cevahir AVM,Female,33.0,Cash
I233250,C303112,Clothing,3,900.24,10-12-2021,Metrocity,Female,55.0,Cash
I631562,C121637,Clothing,2,600.16,16-08-2021,Viaport Outlet,Female,49.0,Cash
I387354,C128876,Shoes,1,600.17,07-04-2021,Kanyon,Male,27.0,Cash
I910145,C315399,Clothing,3,900.24,29-01-2022,Kanyon,Female,23.0,Debit Card
I707819,C261237,Clothing,3,900.24,12-03-2022,Istinye Park,Female,60.0,Debit Card
I138046,C137153,Technology,1,1050.0,23-07-2022,Mall of Istanbul,Female,21.0,Credit Card
I319681,C304748,Clothing,4,1200.32,28-06-2021,Mall of Istanbul,Female,32.0,Credit Card
I158498,C403561,Technology,1,1050.0,15-08-2022,Zorlu Center,Female,42.0,Credit Card
I299444,C303302,Clothing,3,900.24,23-11-2021,Zorlu Center,Female,30.0,Cash
I229895,C156273,Toys,1,35.84,16-04-2021,Kanyon,Male,36.0,Cash
I117926,C204724,Clothing,1,300.08,18-06-2021,Cevahir AVM,Female,26.0,Debit Card
I256969,C166800,Toys,4,143.36,18-08-2022,Kanyon,Female,31.0,Cash
I189131,C135204,Clothing,4,1200.32,28-09-2022,Mall of Istanbul,Female,25.0,Cash
I204897,C997987,Clothing,4,1200.32,10-01-2022,Emaar Square Mall,Female,59.0,Cash
I203178,C268054,Food & Beverage,5,26.15,01-08-2022,Metrocity,Female,61.0,Debit Card
I262105,C215196,Technology,2,2100.0,05-06-2021,Emaar Square Mall,Male,42.0,Cash
I358791,C899218,Books,4,60.6,22-09-2021,Mall of Istanbul,Female,64.0,Credit Card
I334883,C730185,Clothing,1,300.08,27-03-2021,Emaar Square Mall,Female,29.0,Cash
I844405,C886153,Clothing,2,600.16,06-02-2023,Metropol AVM,Female,32.0,Credit Card
I284474,C126883,Shoes,1,600.17,12-10-2021,Metrocity,Male,60.0,Credit Card
I316383,C582855,Food & Beverage,5,26.15,30-08-2021,Metrocity,Male,53.0,Cash
I230848,C323917,Food & Beverage,4,20.92,05-01-2022,Metropol AVM,Male,31.0,Cash
I384873,C436520,Clothing,2,600.16,03-01-2022,Kanyon,Male,28.0,Debit Card
I223875,C493406,Shoes,3,1800.51,30-06-2021,Emaar Square Mall,Female,34.0,Cash
I304830,C240135,Clothing,1,300.08,08-03-2023,Kanyon,Female,34.0,Cash
I247936,C581116,Books,3,45.45,10-08-2022,Mall of Istanbul,Male,47.0,Cash
I250414,C184459,Clothing,2,600.16,14-07-2021,Metrocity,Female,47.0,Credit Card
I276696,C229051,Cosmetics,2,81.32,14-10-2021,Istinye Park,Male,49.0,Cash
I121828,C245572,Toys,5,179.2,06-05-2021,Kanyon,Male,54.0,Credit Card
I844366,C259676,Clothing,2,600.16,02-06-2022,Kanyon,Female,68.0,Cash
I447293,C287764,Technology,2,2100.0,02-05-2022,Kanyon,Female,21.0,Cash
I238246,C159315,Clothing,2,600.16,28-03-2021,Mall of Istanbul,Female,32.0,Cash
I170003,C747837,Food & Beverage,3,15.69,06-07-2022,Viaport Outlet,Female,56.0,Cash
I328770,C214029,Clothing,2,600.16,07-08-2022,Zorlu Center,Female,47.0,Cash
I229383,C179057,Clothing,5,1500.4,27-07-2022,Mall of Istanbul,Male,45.0,Credit Card
I254075,C211416,Clothing,1,300.08,10-10-2021,Mall of Istanbul,Male,58.0,Credit Card
I128667,C187422,Clothing,2,600.16,08-01-2023,Metropol AVM,Female,69.0,Cash
I284445,C191032,Clothing,4,1200.32,20-11-2022,Emaar Square Mall,Female,51.0,Debit Card
I713230,C114902,Clothing,1,300.08,14-10-2021,Metrocity,Female,35.0,Credit Card
I228583,C225306,Food & Beverage,4,20.92,30-01-2022,Istinye Park,Male,61.0,Cash
I890999,C310413,Books,3,45.45,06-02-2022,Metrocity,Female,19.0,Cash
I240382,C245745,Clothing,5,1500.4,21-02-2021,Istinye Park,Female,37.0,Credit Card
I141658,C172646,Cosmetics,2,81.32,12-07-2022,Emaar Square Mall,Male,30.0,Credit Card
I152436,C218079,Shoes,2,1200.34,27-01-2021,Cevahir AVM,Female,48.0,Debit Card
I276807,C295505,Clothing,5,1500.4,22-11-2021,Kanyon,Female,26.0,Cash
I145372,C169406,Clothing,1,300.08,06-01-2021,Metrocity,Male,49.0,Cash
I247264,C588455,Clothing,2,600.16,28-12-2021,Kanyon,Male,62.0,Cash
I268142,C141530,Books,1,15.15,22-07-2021,Viaport Outlet,Female,31.0,Cash
I956543,C121976,Cosmetics,4,162.64,30-08-2021,Forum Istanbul,Female,65.0,Credit Card
I573734,C246503,Clothing,1,300.08,27-06-2022,Zorlu Center,Female,59.0,Credit Card
I337324,C338690,Clothing,1,300.08,14-11-2022,Mall of Istanbul,Female,25.0,Debit Card
I821672,C207320,Food & Beverage,2,10.46,20-01-2021,Mall of Istanbul,Male,56.0,Cash
I120468,C949760,Shoes,4,2400.68,25-08-2022,Kanyon,Male,31.0,Cash
I951988,C492890,Cosmetics,3,121.98,29-12-2021,Kanyon,Male,19.0,Credit Card
I221547,C476125,Clothing,1,300.08,17-07-2021,Metrocity,Female,55.0,Credit Card
I182752,C280881,Cosmetics,3,121.98,23-04-2022,Metropol AVM,Female,67.0,Cash
I170558,C211626,Cosmetics,2,81.32,13-02-2021,Metropol AVM,Male,22.0,Cash
I520629,C804869,Food & Beverage,3,15.69,25-01-2021,Istinye Park,Male,54.0,Cash
I733066,C198180,Cosmetics,3,121.98,22-06-2022,Metrocity,Male,51.0,Cash
I265604,C160512,Toys,1,35.84,26-04-2022,Emaar Square Mall,Female,51.0,Credit Card
I179759,C192871,Toys,3,107.52,10-12-2021,Forum Istanbul,Female,19.0,Cash
I256619,C301754,Cosmetics,4,162.64,17-09-2022,Viaport Outlet,Male,43.0,Cash
I163528,C190313,Books,4,60.6,12-03-2021,Kanyon,Female,55.0,Cash
I924814,C162841,Cosmetics,3,121.98,13-09-2022,Zorlu Center,Female,21.0,Debit Card
I320096,C251203,Toys,2,71.68,19-07-2022,Cevahir AVM,Male,40.0,Credit Card
I315253,C290632,Clothing,5,1500.4,31-01-2022,Kanyon,Male,52.0,Cash
I156674,C226593,Toys,3,107.52,28-08-2022,Metrocity,Male,26.0,Credit Card
I576932,C159886,Toys,4,143.36,14-03-2021,Mall of Istanbul,Female,58.0,Debit Card
I270441,C123618,Clothing,1,300.08,08-04-2022,Metropol AVM,Female,59.0,Cash
I827488,C622329,Clothing,4,1200.32,09-07-2022,Kanyon,Female,19.0,Credit Card
I236096,C740518,Clothing,1,300.08,29-11-2021,Mall of Istanbul,Female,39.0,Debit Card
I780940,C164046,Clothing,3,900.24,15-04-2021,Viaport Outlet,Male,19.0,Debit Card
I126279,C722003,Clothing,3,900.24,29-12-2022,Forum Istanbul,Male,65.0,Cash
I337132,C122254,Clothing,5,1500.4,12-09-2021,Istinye Park,Female,20.0,Cash
I113566,C833832,Clothing,2,600.16,07-04-2022,Viaport Outlet,Female,31.0,Cash
I196306,C345828,Technology,4,4200.0,30-06-2021,Kanyon,Male,51.0,Credit Card
I229719,C334097,Shoes,1,600.17,05-01-2022,Mall of Istanbul,Female,38.0,Credit Card
I329613,C126100,Clothing,5,1500.4,05-12-2021,Mall of Istanbul,Female,58.0,Debit Card
I238285,C510364,Clothing,3,900.24,20-05-2021,Forum Istanbul,Male,44.0,Cash
I597660,C230207,Clothing,3,900.24,26-12-2022,Cevahir AVM,Female,61.0,Cash
I162737,C189528,Food & Beverage,5,26.15,26-11-2022,Cevahir AVM,Female,64.0,Cash
I130989,C148047,Clothing,1,300.08,27-08-2022,Metrocity,Female,69.0,Credit Card
I328570,C304549,Shoes,1,600.17,27-05-2021,Istinye Park,Female,26.0,Debit Card
I108567,C488263,Clothing,1,300.08,29-01-2023,Metrocity,Female,64.0,Cash
I169204,C160190,Toys,4,143.36,19-12-2021,Kanyon,Male,19.0,Cash
I166361,C526513,Food & Beverage,3,15.69,09-10-2021,Kanyon,Male,22.0,Cash
I290124,C335595,Clothing,4,1200.32,05-10-2021,Kanyon,Female,68.0,Debit Card
I294891,C266128,Clothing,1,300.08,18-08-2022,Mall of Istanbul,Female,46.0,Credit Card
I111440,C187813,Toys,2,71.68,22-08-2021,Kanyon,Male,40.0,Credit Card
I294211,C249993,Technology,4,4200.0,24-06-2021,Mall of Istanbul,Female,59.0,Cash
I735905,C439853,Cosmetics,1,40.66,20-01-2022,Kanyon,Female,18.0,Cash
I937841,C309165,Clothing,1,300.08,24-02-2022,Mall of Istanbul,Female,58.0,Cash
I284202,C434802,Food & Beverage,5,26.15,27-11-2022,Istinye Park,Male,46.0,Credit Card
I115449,C240902,Food & Beverage,4,20.92,23-11-2022,Kanyon,Female,42.0,Debit Card
I659960,C939175,Clothing,1,300.08,21-12-2021,Cevahir AVM,Male,62.0,Credit Card
I176554,C180719,Toys,5,179.2,07-05-2021,Emaar Square Mall,Male,24.0,Debit Card
I292313,C252662,Cosmetics,4,162.64,31-07-2022,Metrocity,Female,18.0,Cash
I533515,C289993,Toys,1,35.84,27-09-2021,Metrocity,Female,56.0,Credit Card
I288268,C132503,Souvenir,3,35.19,25-06-2022,Cevahir AVM,Female,59.0,Credit Card
I103324,C501294,Food & Beverage,1,5.23,06-12-2022,Istinye Park,Female,63.0,Cash
I233367,C233053,Souvenir,5,58.65,03-11-2021,Kanyon,Female,32.0,Debit Card
I480312,C412543,Shoes,1,600.17,13-01-2022,Kanyon,Male,59.0,Cash
I937134,C949868,Souvenir,2,23.46,13-10-2021,Mall of Istanbul,Male,30.0,Cash
I138038,C165331,Cosmetics,5,203.3,07-03-2022,Kanyon,Female,32.0,Cash
I288025,C151464,Food & Beverage,5,26.15,23-11-2022,Forum Istanbul,Female,38.0,Credit Card
I492848,C259107,Clothing,5,1500.4,05-08-2021,Mall of Istanbul,Female,47.0,Cash
I230515,C723990,Clothing,1,300.08,15-01-2021,Cevahir AVM,Female,35.0,Cash
I241354,C160596,Food & Beverage,1,5.23,01-07-2022,Kanyon,Female,35.0,Debit Card
I822406,C339385,Clothing,1,300.08,09-07-2022,Emaar Square Mall,Female,45.0,Credit Card
I210426,C207922,Souvenir,4,46.92,19-01-2022,Metropol AVM,Male,46.0,Cash
I509979,C227945,Food & Beverage,2,10.46,13-02-2021,Istinye Park,Male,49.0,Debit Card
I150364,C134039,Food & Beverage,5,26.15,29-01-2023,Metrocity,Female,69.0,Credit Card
I206350,C140290,Technology,5,5250.0,23-06-2021,Emaar Square Mall,Male,33.0,Cash
I100614,C261517,Cosmetics,5,203.3,11-07-2021,Cevahir AVM,Female,41.0,Cash
I818342,C340084,Clothing,1,300.08,03-02-2021,Zorlu Center,Female,52.0,Debit Card
I248898,C264545,Clothing,5,1500.4,19-11-2021,Kanyon,Male,38.0,Credit Card
I232489,C173388,Clothing,5,1500.4,20-02-2022,Mall of Istanbul,Male,52.0,Cash
I247145,C274472,Books,5,75.75,26-12-2021,Mall of Istanbul,Female,55.0,Credit Card
I153775,C921087,Shoes,2,1200.34,12-09-2021,Metrocity,Female,60.0,Credit Card
I179719,C306330,Cosmetics,2,81.32,22-02-2021,Mall of Istanbul,Female,26.0,Cash
I249552,C143595,Clothing,4,1200.32,22-01-2022,Zorlu Center,Female,57.0,Cash
I380830,C484681,Clothing,4,1200.32,25-05-2022,Metrocity,Male,63.0,Credit Card
I114843,C102515,Shoes,4,2400.68,18-12-2021,Mall of Istanbul,Female,28.0,Cash
I509775,C265780,Clothing,4,1200.32,29-10-2021,Kanyon,Female,59.0,Cash
I298023,C828402,Food & Beverage,1,5.23,06-03-2023,Viaport Outlet,Male,64.0,Cash
I314226,C237366,Food & Beverage,3,15.69,15-12-2021,Mall of Istanbul,Male,67.0,Debit Card
I211007,C181184,Clothing,1,300.08,20-12-2022,Istinye Park,Male,56.0,Cash
I139026,C153137,Shoes,1,600.17,30-01-2021,Zorlu Center,Female,65.0,Cash
I140955,C291291,Food & Beverage,3,15.69,25-02-2022,Emaar Square Mall,Female,24.0,Cash
I234104,C319696,Cosmetics,1,40.66,06-10-2021,Metrocity,Male,43.0,Cash
I797149,C225949,Toys,5,179.2,05-02-2023,Metrocity,Female,28.0,Cash
I216047,C391248,Clothing,1,300.08,27-11-2022,Cevahir AVM,Female,37.0,Cash
I833963,C137362,Clothing,4,1200.32,03-04-2021,Kanyon,Female,18.0,Credit Card
I213268,C136682,Shoes,1,600.17,24-06-2021,Metrocity,Female,63.0,Cash
I807712,C315726,Shoes,1,600.17,01-09-2021,Metropol AVM,Female,37.0,Cash
I263829,C118571,Toys,5,179.2,09-10-2021,Kanyon,Female,46.0,Cash
I197447,C770626,Food & Beverage,1,5.23,15-06-2022,Mall of Istanbul,Female,18.0,Debit Card
I222463,C243451,Clothing,1,300.08,29-01-2023,Viaport Outlet,Female,36.0,Cash
I875529,C353540,Food & Beverage,5,26.15,31-01-2023,Mall of Istanbul,Male,20.0,Cash
I443994,C480991,Food & Beverage,5,26.15,16-09-2022,Kanyon,Male,66.0,Credit Card
I128638,C162398,Food & Beverage,4,20.92,27-11-2021,Metropol AVM,Female,34.0,Cash
I526892,C101261,Cosmetics,5,203.3,10-09-2022,Zorlu Center,Female,31.0,Debit Card
I160932,C232859,Clothing,2,600.16,08-07-2021,Emaar Square Mall,Female,59.0,Credit Card
I278211,C297801,Clothing,2,600.16,16-10-2022,Mall of Istanbul,Female,24.0,Debit Card
I232117,C336156,Shoes,1,600.17,22-08-2022,Kanyon,Female,39.0,Credit Card
I469490,C122011,Cosmetics,5,203.3,27-04-2021,Kanyon,Female,58.0,Credit Card
I677367,C811884,Shoes,5,3000.85,06-06-2022,Emaar Square Mall,Female,37.0,Credit Card
I360069,C191489,Shoes,2,1200.34,02-03-2021,Viaport Outlet,Female,39.0,Cash
I677787,C160706,Clothing,5,1500.4,26-06-2022,Metrocity,Female,46.0,Credit Card
I186360,C159205,Cosmetics,5,203.3,22-11-2021,Forum Istanbul,Female,40.0,Credit Card
I159210,C901974,Cosmetics,2,81.32,07-09-2021,Metrocity,Male,22.0,Cash
I267759,C273323,Technology,4,4200.0,30-05-2022,Kanyon,Male,48.0,Cash
I133928,C217716,Food & Beverage,4,20.92,03-06-2022,Mall of Istanbul,Female,51.0,Cash
I139530,C572091,Food & Beverage,2,10.46,31-01-2023,Kanyon,Female,38.0,Cash
I155338,C222040,Food & Beverage,5,26.15,15-09-2021,Metrocity,Female,45.0,Debit Card
I106470,C293605,Toys,2,71.68,18-07-2021,Metropol AVM,Male,35.0,Cash
I175718,C182693,Cosmetics,1,40.66,09-02-2021,Viaport Outlet,Female,62.0,Debit Card
I766238,C166142,Cosmetics,4,162.64,24-05-2022,Mall of Istanbul,Female,34.0,Cash
I339994,C233561,Cosmetics,1,40.66,05-01-2021,Forum Istanbul,Male,36.0,Cash
I213491,C337721,Toys,4,143.36,16-10-2021,Istinye Park,Female,23.0,Debit Card
I491239,C157128,Cosmetics,2,81.32,14-05-2021,Viaport Outlet,Female,37.0,Debit Card
I149830,C298828,Clothing,3,900.24,10-10-2021,Kanyon,Female,53.0,Credit Card
I104473,C202633,Clothing,5,1500.4,24-01-2021,Istinye Park,Female,27.0,Debit Card
I504418,C182302,Food & Beverage,4,20.92,13-08-2022,Kanyon,Female,22.0,Credit Card
I155694,C430931,Cosmetics,3,121.98,05-11-2021,Metropol AVM,Female,46.0,Cash
I260419,C327137,Technology,4,4200.0,15-08-2022,Metropol AVM,Male,38.0,Credit Card
I287965,C171377,Food & Beverage,5,26.15,30-09-2022,Mall of Istanbul,Female,34.0,Cash
I652436,C251786,Souvenir,2,23.46,30-01-2022,Istinye Park,Female,55.0,Cash
I870519,C437904,Clothing,4,1200.32,01-09-2021,Mall of Istanbul,Female,22.0,Cash
I224038,C192357,Clothing,1,300.08,22-08-2022,Istinye Park,Male,26.0,Debit Card
I170927,C249994,Cosmetics,3,121.98,22-09-2022,Metrocity,Female,37.0,Credit Card
I582909,C314945,Clothing,5,1500.4,25-01-2021,Viaport Outlet,Female,61.0,Cash
I153766,C207391,Clothing,2,600.16,19-10-2022,Kanyon,Female,67.0,Cash
I269050,C138767,Clothing,4,1200.32,18-11-2021,Viaport Outlet,Male,69.0,Cash
I250253,C817202,Shoes,2,1200.34,14-04-2022,Emaar Square Mall,Female,27.0,Debit Card
I136804,C769179,Cosmetics,5,203.3,15-05-2022,Istinye Park,Female,26.0,Cash
I136504,C758807,Souvenir,5,58.65,28-02-2021,Mall of Istanbul,Female,30.0,Debit Card
I194113,C271813,Souvenir,2,23.46,23-01-2021,Emaar Square Mall,Female,69.0,Credit Card
I622329,C304924,Shoes,3,1800.51,26-11-2022,Mall of Istanbul,Male,39.0,Debit Card
I250385,C312568,Clothing,2,600.16,01-04-2022,Metrocity,Female,43.0,Cash
I282695,C266377,Clothing,3,900.24,22-02-2022,Kanyon,Female,38.0,Credit Card
I206642,C289260,Cosmetics,3,121.98,12-01-2023,Zorlu Center,Female,36.0,Debit Card
I245988,C151503,Cosmetics,5,203.3,28-08-2022,Metrocity,Female,61.0,Credit Card
I264264,C615393,Technology,5,5250.0,25-03-2021,Zorlu Center,Female,56.0,Credit Card
I253061,C205984,Shoes,1,600.17,25-05-2021,Metropol AVM,Male,58.0,Credit Card
I141939,C224857,Food & Beverage,4,20.92,17-03-2022,Metropol AVM,Male,66.0,Cash
I179672,C235663,Food & Beverage,3,15.69,21-11-2021,Metropol AVM,Male,38.0,Cash
I283507,C268455,Clothing,3,900.24,02-02-2023,Mall of Istanbul,Female,64.0,Debit Card
I485162,C475080,Clothing,2,600.16,21-05-2021,Mall of Istanbul,Male,64.0,Credit Card
I138219,C338671,Clothing,3,900.24,09-06-2021,Cevahir AVM,Female,21.0,Cash
I369631,C606472,Clothing,3,900.24,04-02-2022,Istinye Park,Female,45.0,Cash
I285013,C424443,Technology,2,2100.0,27-02-2021,Metrocity,Male,31.0,Credit Card
I288639,C181284,Clothing,4,1200.32,24-10-2022,Forum Istanbul,Male,37.0,Cash
I145668,C184744,Toys,3,107.52,17-03-2022,Mall of Istanbul,Male,31.0,Credit Card
I203772,C271031,Clothing,4,1200.32,01-08-2021,Forum Istanbul,Female,63.0,Cash
I280961,C932517,Clothing,2,600.16,02-10-2021,Kanyon,Female,26.0,Debit Card
I224642,C581271,Food & Beverage,4,20.92,30-03-2022,Metrocity,Male,46.0,Credit Card
I192290,C850866,Clothing,2,600.16,30-09-2021,Mall of Istanbul,Female,31.0,Credit Card
I118084,C264819,Clothing,5,1500.4,10-01-2021,Cevahir AVM,Female,60.0,Cash
I272181,C279559,Clothing,2,600.16,22-01-2023,Kanyon,Female,23.0,Credit Card
I278920,C162008,Clothing,2,600.16,03-07-2021,Cevahir AVM,Female,59.0,Credit Card
I187920,C475377,Cosmetics,2,81.32,01-10-2022,Metrocity,Female,44.0,Debit Card
I328192,C198094,Food & Beverage,1,5.23,02-09-2021,Kanyon,Female,54.0,Credit Card
I953657,C838623,Clothing,5,1500.4,17-08-2022,Kanyon,Male,55.0,Debit Card
I226372,C853154,Shoes,4,2400.68,24-02-2022,Zorlu Center,Male,50.0,Cash
I130494,C291802,Souvenir,2,23.46,13-02-2021,Mall of Istanbul,Female,36.0,Debit Card
I237041,C206443,Shoes,5,3000.85,06-09-2022,Metrocity,Male,33.0,Cash
I182523,C164988,Cosmetics,2,81.32,13-03-2022,Metropol AVM,Male,18.0,Cash
I307391,C218830,Souvenir,2,23.46,26-08-2022,Mall of Istanbul,Female,54.0,Credit Card
I253364,C172917,Cosmetics,3,121.98,20-11-2021,Mall of Istanbul,Male,46.0,Debit Card
I123565,C127847,Food & Beverage,2,10.46,17-06-2022,Emaar Square Mall,Male,38.0,Credit Card
I267637,C771924,Cosmetics,2,81.32,15-10-2022,Metrocity,Female,39.0,Credit Card
I266070,C185774,Cosmetics,2,81.32,04-06-2021,Metrocity,Female,36.0,Debit Card
I197896,C227232,Clothing,4,1200.32,10-10-2021,Metrocity,Male,53.0,Credit Card
I177082,C264631,Food & Beverage,3,15.69,22-04-2022,Mall of Istanbul,Male,50.0,Credit Card
I182326,C205376,Food & Beverage,1,5.23,13-12-2021,Metropol AVM,Male,64.0,Cash
I285766,C161073,Food & Beverage,1,5.23,22-02-2022,Kanyon,Female,44.0,Cash
I327416,C322260,Clothing,2,600.16,02-08-2022,Metropol AVM,Male,42.0,Credit Card
I449724,C121211,Clothing,4,1200.32,21-05-2021,Mall of Istanbul,Female,67.0,Debit Card
I261996,C171987,Food & Beverage,1,5.23,10-03-2021,Metrocity,Male,46.0,Credit Card
I193095,C290363,Cosmetics,5,203.3,30-03-2021,Mall of Istanbul,Female,47.0,Credit Card
I242047,C379931,Clothing,1,300.08,30-07-2022,Metrocity,Female,50.0,Credit Card
I173444,C422499,Books,2,30.3,05-03-2023,Metrocity,Male,39.0,Cash
I262529,C475169,Toys,4,143.36,16-01-2022,Metropol AVM,Male,31.0,Cash
I248042,C198030,Clothing,1,300.08,29-06-2021,Viaport Outlet,Female,28.0,Debit Card
I487727,C162965,Clothing,1,300.08,04-02-2022,Kanyon,Male,68.0,Cash
I257855,C330282,Clothing,2,600.16,25-11-2021,Metropol AVM,Male,55.0,Debit Card
I210526,C199520,Books,4,60.6,23-04-2021,Emaar Square Mall,Female,58.0,Debit Card
I200558,C219393,Technology,5,5250.0,20-01-2022,Istinye Park,Male,49.0,Cash
I654306,C239813,Shoes,4,2400.68,02-10-2021,Metropol AVM,Male,57.0,Credit Card
I258460,C283880,Toys,4,143.36,04-03-2022,Mall of Istanbul,Female,52.0,Credit Card
I243264,C217948,Shoes,1,600.17,09-12-2022,Metropol AVM,Female,28.0,Cash
I151138,C170925,Souvenir,5,58.65,05-03-2021,Metrocity,Female,47.0,Cash
I247306,C465167,Cosmetics,4,162.64,22-10-2021,Mall of Istanbul,Female,46.0,Cash
I673195,C155697,Souvenir,1,11.73,20-11-2021,Mall of Istanbul,Male,38.0,Cash
I431780,C111981,Cosmetics,5,203.3,01-04-2021,Metrocity,Male,47.0,Credit Card
I323800,C107279,Food & Beverage,3,15.69,27-08-2022,Mall of Istanbul,Female,23.0,Cash
